"アイテムID(NC)","アイテムコード","アイテム名(NC)","位置別アイテム画像コード","表示名","表示順","表示可否","プラットフォームプリセット","カラーID","カラー名称(NC)","サムネイルファイル名","マスク画像ファイル名"
"13566","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6080","アシッドブルー","5001-01-0001.jpg",""
"13566","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6255","バナナ","5001-01-0001.jpg",""
"13566","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6256","ライトイエロー","5001-01-0001.jpg",""
"13566","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6079","ライトブルー","5001-01-0001.jpg",""
"13566","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6098","ライトパープル","5001-01-0001.jpg",""
"13566","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6071","ライトピンク","5001-01-0001.jpg",""
"13566","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6094","アイビーグリーン","5001-01-0001.jpg",""
"13566","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6257","トロピカルピンク","5001-01-0001.jpg",""
"13566","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6258","サンドカーキ","5001-01-0001.jpg",""
"13566","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6259","ターコイズブルー","5001-01-0001.jpg",""
"13566","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6260","バイオレットパープル","5001-01-0001.jpg",""
"13566","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6261","サンドベージュ","5001-01-0001.jpg",""
"13566","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6262","アプリコット","5001-01-0001.jpg",""
"13566","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6263","アップルグリーン","5001-01-0001.jpg",""
"13566","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6264","ベビーピンク","5001-01-0001.jpg",""
