"アイテムID(NC)","アイテムコード","アイテム名(NC)","位置別アイテム画像コード","表示名","表示順","表示可否","プラットフォームプリセット","カラーID","カラー名称(NC)","サムネイルファイル名","マスク画像ファイル名"
"13569","5010-01","5010-01 5.6オンス ロングスリーブ Tシャツ","5010-01_chest_left","左胸","1","1","0","6052","ホワイト","5010-01-0001.jpg",""
"13569","5010-01","5010-01 5.6オンス ロングスリーブ Tシャツ","5010-01_chest_left","左胸","1","1","0","6060","ブラック","5010-01-0002.jpg",""
"13569","5010-01","5010-01 5.6オンス ロングスリーブ Tシャツ","5010-01_chest_left","左胸","1","1","0","6241","ミックスグレー","5010-01-0006.jpg",""
"13569","5010-01","5010-01 5.6オンス ロングスリーブ Tシャツ","5010-01_chest_left","左胸","1","1","0","6058","チャコール","5010-01-0007.jpg",""
"13569","5010-01","5010-01 5.6オンス ロングスリーブ Tシャツ","5010-01_chest_left","左胸","1","1","0","6063","ナチュラル","5010-01-0019.jpg",""
"13569","5010-01","5010-01 5.6オンス ロングスリーブ Tシャツ","5010-01_chest_left","左胸","1","1","0","6087","ネイビー","5010-01-0086.jpg",""
"13569","5010-01","5010-01 5.6オンス ロングスリーブ Tシャツ","5010-01_chest_left","左胸","1","1","0","6080","アシッドブルー","5010-01-0247.jpg",""
"13569","5010-01","5010-01 5.6オンス ロングスリーブ Tシャツ","5010-01_chest_left","左胸","1","1","0","6258","サンドカーキ","5010-01-0537.jpg",""
"13569","5010-01","5010-01 5.6オンス ロングスリーブ Tシャツ","5010-01_chest_left","左胸","1","1","0","6260","バイオレットパープル","5010-01-0539.jpg",""
"13569","5010-01","5010-01 5.6オンス ロングスリーブ Tシャツ","5010-01_chest_left","左胸","1","1","0","6268","ライトオリーブ","5010-01-0739.jpg",""
