"アイテムID(NC)","アイテムコード","アイテム名(NC)","位置別アイテム画像コード","表示名","表示順","表示可否","プラットフォームプリセット","カラーID","カラー名称(NC)","サムネイルファイル名","マスク画像ファイル名"
"13572","5399-01","5399-01 8.8オンス オーセンティックパイル クルーネックスウェット（裏パイル）","5399-01_chest_left","左胸","1","1","0","6052","ホワイト","5399-01-0001.jpg",""
"13572","5399-01","5399-01 8.8オンス オーセンティックパイル クルーネックスウェット（裏パイル）","5399-01_chest_left","左胸","1","1","0","6060","ブラック","5399-01-0002.jpg",""
"13572","5399-01","5399-01 8.8オンス オーセンティックパイル クルーネックスウェット（裏パイル）","5399-01_chest_left","左胸","1","1","0","6054","アッシュ","5399-01-0005.jpg",""
"13572","5399-01","5399-01 8.8オンス オーセンティックパイル クルーネックスウェット（裏パイル）","5399-01_chest_left","左胸","1","1","0","6241","ミックスグレー","5399-01-0006.jpg",""
"13572","5399-01","5399-01 8.8オンス オーセンティックパイル クルーネックスウェット（裏パイル）","5399-01_chest_left","左胸","1","1","0","6288","グレー","5399-01-0013.jpg",""
"13572","5399-01","5399-01 8.8オンス オーセンティックパイル クルーネックスウェット（裏パイル）","5399-01_chest_left","左胸","1","1","0","6243","ゴールド","5399-01-0022.jpg",""
"13572","5399-01","5399-01 8.8オンス オーセンティックパイル クルーネックスウェット（裏パイル）","5399-01_chest_left","左胸","1","1","0","6289","モスグリーン","5399-01-0054.jpg",""
"13572","5399-01","5399-01 8.8オンス オーセンティックパイル クルーネックスウェット（裏パイル）","5399-01_chest_left","左胸","1","1","0","6075","バーガンディ","5399-01-0072.jpg",""
"13572","5399-01","5399-01 8.8オンス オーセンティックパイル クルーネックスウェット（裏パイル）","5399-01_chest_left","左胸","1","1","0","6087","ネイビー","5399-01-0086.jpg",""
"13572","5399-01","5399-01 8.8オンス オーセンティックパイル クルーネックスウェット（裏パイル）","5399-01_chest_left","左胸","1","1","0","6085","インディゴ","5399-01-0087.jpg",""
"13572","5399-01","5399-01 8.8オンス オーセンティックパイル クルーネックスウェット（裏パイル）","5399-01_chest_left","左胸","1","1","0","6290","マリンブルー","5399-01-0095.jpg",""
"13572","5399-01","5399-01 8.8オンス オーセンティックパイル クルーネックスウェット（裏パイル）","5399-01_chest_left","左胸","1","1","0","6251","スミ","5399-01-0165.jpg",""
"13572","5399-01","5399-01 8.8オンス オーセンティックパイル クルーネックスウェット（裏パイル）","5399-01_chest_left","左胸","1","1","0","6274","グレージュ","5399-01-0183.jpg",""
"13572","5399-01","5399-01 8.8オンス オーセンティックパイル クルーネックスウェット（裏パイル）","5399-01_chest_left","左胸","1","1","0","6254","ハイレッド","5399-01-0232.jpg",""
"13572","5399-01","5399-01 8.8オンス オーセンティックパイル クルーネックスウェット（裏パイル）","5399-01_chest_left","左胸","1","1","0","6291","ダークチョコレート","5399-01-0237.jpg",""
"13572","5399-01","5399-01 8.8オンス オーセンティックパイル クルーネックスウェット（裏パイル）","5399-01_chest_left","左胸","1","1","0","6292","ヴィンテージナチュラル","5399-01-0600.jpg",""
"13572","5399-01","5399-01 8.8オンス オーセンティックパイル クルーネックスウェット（裏パイル）","5399-01_chest_left","左胸","1","1","0","6293","ヴィンテージイエロー","5399-01-0949.jpg",""
"13572","5399-01","5399-01 8.8オンス オーセンティックパイル クルーネックスウェット（裏パイル）","5399-01_chest_left","左胸","1","1","0","6294","ヴィンテージサックス","5399-01-0952.jpg",""
