"アイテムID(NC)","アイテムコード","アイテム名(NC)","位置別アイテム画像コード","表示名","表示順","表示可否","プラットフォームプリセット","カラーID","カラー名称(NC)","サムネイルファイル名","マスク画像ファイル名"
"__ITEMID__","2024-01","2024-01 4.7オンス スペシャルドライカノコ ロングスリーブ ポロシャツ（ポケット付）（ローブリード）","2024-01_chest_left","左胸","1","1","0","6052","ホワイト","2024-01-0001.jpg",""
"__ITEMID__","2024-01","2024-01 4.7オンス スペシャルドライカノコ ロングスリーブ ポロシャツ（ポケット付）（ローブリード）","2024-01_chest_left","左胸","1","1","0","6060","ブラック","2024-01-0002.jpg",""
"__ITEMID__","2024-01","2024-01 4.7オンス スペシャルドライカノコ ロングスリーブ ポロシャツ（ポケット付）（ローブリード）","2024-01_chest_left","左胸","1","1","0","6087","ネイビー","2024-01-0086.jpg",""
