"アイテムID(NC)","アイテムコード","アイテム名(NC)","位置別アイテム画像コード","表示名","表示順","表示可否","プラットフォームプリセット","カラーID","カラー名称(NC)","サムネイルファイル名","マスク画像ファイル名"
"__ITEMID__","5397-01","5397-01 8.8オンス オーセンティックパイル スウェット フルジップパーカ（裏パイル）","5397-01_chest_left","左胸","1","1","0","6052","ホワイト","5397-01-0001.jpg",""
"__ITEMID__","5397-01","5397-01 8.8オンス オーセンティックパイル スウェット フルジップパーカ（裏パイル）","5397-01_chest_left","左胸","1","1","0","6060","ブラック","5397-01-0002.jpg",""
"__ITEMID__","5397-01","5397-01 8.8オンス オーセンティックパイル スウェット フルジップパーカ（裏パイル）","5397-01_chest_left","左胸","1","1","0","6054","アッシュ","5397-01-0005.jpg",""
"__ITEMID__","5397-01","5397-01 8.8オンス オーセンティックパイル スウェット フルジップパーカ（裏パイル）","5397-01_chest_left","左胸","1","1","0","6241","ミックスグレー","5397-01-0006.jpg",""
"__ITEMID__","5397-01","5397-01 8.8オンス オーセンティックパイル スウェット フルジップパーカ（裏パイル）","5397-01_chest_left","左胸","1","1","0","6288","グレー","5397-01-0013.jpg",""
"__ITEMID__","5397-01","5397-01 8.8オンス オーセンティックパイル スウェット フルジップパーカ（裏パイル）","5397-01_chest_left","左胸","1","1","0","6243","ゴールド","5397-01-0022.jpg",""
"__ITEMID__","5397-01","5397-01 8.8オンス オーセンティックパイル スウェット フルジップパーカ（裏パイル）","5397-01_chest_left","左胸","1","1","0","6289","モスグリーン","5397-01-0054.jpg",""
"__ITEMID__","5397-01","5397-01 8.8オンス オーセンティックパイル スウェット フルジップパーカ（裏パイル）","5397-01_chest_left","左胸","1","1","0","6075","バーガンディ","5397-01-0072.jpg",""
"__ITEMID__","5397-01","5397-01 8.8オンス オーセンティックパイル スウェット フルジップパーカ（裏パイル）","5397-01_chest_left","左胸","1","1","0","6087","ネイビー","5397-01-0086.jpg",""
"__ITEMID__","5397-01","5397-01 8.8オンス オーセンティックパイル スウェット フルジップパーカ（裏パイル）","5397-01_chest_left","左胸","1","1","0","6085","インディゴ","5397-01-0087.jpg",""
"__ITEMID__","5397-01","5397-01 8.8オンス オーセンティックパイル スウェット フルジップパーカ（裏パイル）","5397-01_chest_left","左胸","1","1","0","6290","マリンブルー","5397-01-0095.jpg",""
"__ITEMID__","5397-01","5397-01 8.8オンス オーセンティックパイル スウェット フルジップパーカ（裏パイル）","5397-01_chest_left","左胸","1","1","0","6251","スミ","5397-01-0165.jpg",""
"__ITEMID__","5397-01","5397-01 8.8オンス オーセンティックパイル スウェット フルジップパーカ（裏パイル）","5397-01_chest_left","左胸","1","1","0","6274","グレージュ","5397-01-0183.jpg",""
"__ITEMID__","5397-01","5397-01 8.8オンス オーセンティックパイル スウェット フルジップパーカ（裏パイル）","5397-01_chest_left","左胸","1","1","0","6254","ハイレッド","5397-01-0232.jpg",""
"__ITEMID__","5397-01","5397-01 8.8オンス オーセンティックパイル スウェット フルジップパーカ（裏パイル）","5397-01_chest_left","左胸","1","1","0","6291","ダークチョコレート","5397-01-0237.jpg",""
"__ITEMID__","5397-01","5397-01 8.8オンス オーセンティックパイル スウェット フルジップパーカ（裏パイル）","5397-01_chest_left","左胸","1","1","0","6292","ヴィンテージナチュラル","5397-01-0600.jpg",""
"__ITEMID__","5397-01","5397-01 8.8オンス オーセンティックパイル スウェット フルジップパーカ（裏パイル）","5397-01_chest_left","左胸","1","1","0","6293","ヴィンテージイエロー","5397-01-0949.jpg",""
"__ITEMID__","5397-01","5397-01 8.8オンス オーセンティックパイル スウェット フルジップパーカ（裏パイル）","5397-01_chest_left","左胸","1","1","0","6294","ヴィンテージサックス","5397-01-0952.jpg",""
