"アイテムID(NC)","アイテムコード","アイテム名(NC)","位置別アイテム画像コード","表示名","表示順","表示可否","プラットフォームプリセット","カラーID","カラー名称(NC)","サムネイルファイル名","マスク画像ファイル名"
"13567","2020-01","2020-01 4.7オンス スペシャルドライカノコ ポロシャツ（ローブリード）","2020-01_chest_left","左胸","1","1","0","6259","ターコイズブルー","2020-01-0538.jpg",""
"13567","2020-01","2020-01 4.7オンス スペシャルドライカノコ ポロシャツ（ローブリード）","2020-01_chest_left","左胸","1","1","0","6280","ヘザーチャコール","2020-01-0598.jpg",""
"13568","2024-01","2024-01 4.7オンス スペシャルドライカノコ ロングスリーブ ポロシャツ（ポケット付）（ローブリード）","2024-01_chest_left","左胸","1","1","0","6052","ホワイト","2024-01-0001.jpg",""
"13568","2024-01","2024-01 4.7オンス スペシャルドライカノコ ロングスリーブ ポロシャツ（ポケット付）（ローブリード）","2024-01_chest_left","左胸","1","1","0","6060","ブラック","2024-01-0002.jpg",""
"13568","2024-01","2024-01 4.7オンス スペシャルドライカノコ ロングスリーブ ポロシャツ（ポケット付）（ローブリード）","2024-01_chest_left","左胸","1","1","0","6087","ネイビー","2024-01-0086.jpg",""
"13569","5010-01","5010-01 5.6オンス ロングスリーブ Tシャツ","5010-01_chest_left","左胸","1","1","0","6052","ホワイト","5010-01-0001.jpg",""
"13569","5010-01","5010-01 5.6オンス ロングスリーブ Tシャツ","5010-01_chest_left","左胸","1","1","0","6060","ブラック","5010-01-0002.jpg",""
"13569","5010-01","5010-01 5.6オンス ロングスリーブ Tシャツ","5010-01_chest_left","左胸","1","1","0","6241","ミックスグレー","5010-01-0006.jpg",""
"13569","5010-01","5010-01 5.6オンス ロングスリーブ Tシャツ","5010-01_chest_left","左胸","1","1","0","6058","チャコール","5010-01-0007.jpg",""
"13569","5010-01","5010-01 5.6オンス ロングスリーブ Tシャツ","5010-01_chest_left","左胸","1","1","0","6063","ナチュラル","5010-01-0019.jpg",""
"13569","5010-01","5010-01 5.6オンス ロングスリーブ Tシャツ","5010-01_chest_left","左胸","1","1","0","6087","ネイビー","5010-01-0086.jpg",""
"13569","5010-01","5010-01 5.6オンス ロングスリーブ Tシャツ","5010-01_chest_left","左胸","1","1","0","6080","アシッドブルー","5010-01-0247.jpg",""
"13569","5010-01","5010-01 5.6オンス ロングスリーブ Tシャツ","5010-01_chest_left","左胸","1","1","0","6258","サンドカーキ","5010-01-0537.jpg",""
"13569","5010-01","5010-01 5.6オンス ロングスリーブ Tシャツ","5010-01_chest_left","左胸","1","1","0","6260","バイオレットパープル","5010-01-0539.jpg",""
"13569","5010-01","5010-01 5.6オンス ロングスリーブ Tシャツ","5010-01_chest_left","左胸","1","1","0","6268","ライトオリーブ","5010-01-0739.jpg",""
"13570","5041-01","5041-01 5.6オンス ラグランスリーブ Tシャツ","5041-01_chest_left","左胸","1","1","0","6281","ホワイト/ブラック","5041-01-1002.jpg",""
"13570","5041-01","5041-01 5.6オンス ラグランスリーブ Tシャツ","5041-01_chest_left","左胸","1","1","0","6282","ホワイト/バイオレットパープル","5041-01-1063.jpg",""
"13570","5041-01","5041-01 5.6オンス ラグランスリーブ Tシャツ","5041-01_chest_left","左胸","1","1","0","6283","アッシュ/スミ","5041-01-7907.jpg",""
"13570","5041-01","5041-01 5.6オンス ラグランスリーブ Tシャツ","5041-01_chest_left","左胸","1","1","0","6284","アッシュ/ビリヤードグリーン","5041-01-7939.jpg",""
"13570","5041-01","5041-01 5.6オンス ラグランスリーブ Tシャツ","5041-01_chest_left","左胸","1","1","0","6285","アッシュ/クラシックブルー","5041-01-7979.jpg",""
"13570","5041-01","5041-01 5.6オンス ラグランスリーブ Tシャツ","5041-01_chest_left","左胸","1","1","0","6286","ヴィンテージ ナチュラル/ライトオリーブ","5041-01-8042.jpg",""
"13570","5041-01","5041-01 5.6オンス ラグランスリーブ Tシャツ","5041-01_chest_left","左胸","1","1","0","6287","ヴィンテージ ナチュラル/ダークキャメル","5041-01-8043.jpg",""
"13571","5397-01","5397-01 8.8オンス オーセンティックパイル スウェット フルジップパーカ（裏パイル）","5397-01_chest_left","左胸","1","1","0","6052","ホワイト","5397-01-0001.jpg",""
"13571","5397-01","5397-01 8.8オンス オーセンティックパイル スウェット フルジップパーカ（裏パイル）","5397-01_chest_left","左胸","1","1","0","6060","ブラック","5397-01-0002.jpg",""
"13571","5397-01","5397-01 8.8オンス オーセンティックパイル スウェット フルジップパーカ（裏パイル）","5397-01_chest_left","左胸","1","1","0","6054","アッシュ","5397-01-0005.jpg",""
"13571","5397-01","5397-01 8.8オンス オーセンティックパイル スウェット フルジップパーカ（裏パイル）","5397-01_chest_left","左胸","1","1","0","6241","ミックスグレー","5397-01-0006.jpg",""
"13571","5397-01","5397-01 8.8オンス オーセンティックパイル スウェット フルジップパーカ（裏パイル）","5397-01_chest_left","左胸","1","1","0","6288","グレー","5397-01-0013.jpg",""
"13571","5397-01","5397-01 8.8オンス オーセンティックパイル スウェット フルジップパーカ（裏パイル）","5397-01_chest_left","左胸","1","1","0","6243","ゴールド","5397-01-0022.jpg",""
"13571","5397-01","5397-01 8.8オンス オーセンティックパイル スウェット フルジップパーカ（裏パイル）","5397-01_chest_left","左胸","1","1","0","6289","モスグリーン","5397-01-0054.jpg",""
"13571","5397-01","5397-01 8.8オンス オーセンティックパイル スウェット フルジップパーカ（裏パイル）","5397-01_chest_left","左胸","1","1","0","6075","バーガンディ","5397-01-0072.jpg",""
"13571","5397-01","5397-01 8.8オンス オーセンティックパイル スウェット フルジップパーカ（裏パイル）","5397-01_chest_left","左胸","1","1","0","6087","ネイビー","5397-01-0086.jpg",""
"13571","5397-01","5397-01 8.8オンス オーセンティックパイル スウェット フルジップパーカ（裏パイル）","5397-01_chest_left","左胸","1","1","0","6085","インディゴ","5397-01-0087.jpg",""
"13571","5397-01","5397-01 8.8オンス オーセンティックパイル スウェット フルジップパーカ（裏パイル）","5397-01_chest_left","左胸","1","1","0","6290","マリンブルー","5397-01-0095.jpg",""
"13571","5397-01","5397-01 8.8オンス オーセンティックパイル スウェット フルジップパーカ（裏パイル）","5397-01_chest_left","左胸","1","1","0","6251","スミ","5397-01-0165.jpg",""
"13571","5397-01","5397-01 8.8オンス オーセンティックパイル スウェット フルジップパーカ（裏パイル）","5397-01_chest_left","左胸","1","1","0","6274","グレージュ","5397-01-0183.jpg",""
"13571","5397-01","5397-01 8.8オンス オーセンティックパイル スウェット フルジップパーカ（裏パイル）","5397-01_chest_left","左胸","1","1","0","6254","ハイレッド","5397-01-0232.jpg",""
"13571","5397-01","5397-01 8.8オンス オーセンティックパイル スウェット フルジップパーカ（裏パイル）","5397-01_chest_left","左胸","1","1","0","6291","ダークチョコレート","5397-01-0237.jpg",""
