"アイテムID(NC)","アイテムコード","アイテム名(NC)","位置別アイテム画像コード","表示名","表示順","表示可否","プラットフォームプリセット","カラーID","カラー名称(NC)","サムネイルファイル名","マスク画像ファイル名"
"__ITEMID__","5041-01","5041-01 5.6オンス ラグランスリーブ Tシャツ","5041-01_chest_left","左胸","1","1","0","6281","ホワイト/ブラック","5041-01-1002.jpg",""
"__ITEMID__","5041-01","5041-01 5.6オンス ラグランスリーブ Tシャツ","5041-01_chest_left","左胸","1","1","0","6282","ホワイト/バイオレットパープル","5041-01-1063.jpg",""
"__ITEMID__","5041-01","5041-01 5.6オンス ラグランスリーブ Tシャツ","5041-01_chest_left","左胸","1","1","0","6283","アッシュ/スミ","5041-01-7907.jpg",""
"__ITEMID__","5041-01","5041-01 5.6オンス ラグランスリーブ Tシャツ","5041-01_chest_left","左胸","1","1","0","6284","アッシュ/ビリヤードグリーン","5041-01-7939.jpg",""
"__ITEMID__","5041-01","5041-01 5.6オンス ラグランスリーブ Tシャツ","5041-01_chest_left","左胸","1","1","0","6285","アッシュ/クラシックブルー","5041-01-7979.jpg",""
"__ITEMID__","5041-01","5041-01 5.6オンス ラグランスリーブ Tシャツ","5041-01_chest_left","左胸","1","1","0","6286","ヴィンテージ ナチュラル/ライトオリーブ","5041-01-8042.jpg",""
"__ITEMID__","5041-01","5041-01 5.6オンス ラグランスリーブ Tシャツ","5041-01_chest_left","左胸","1","1","0","6287","ヴィンテージ ナチュラル/ダークキャメル","5041-01-8043.jpg",""
